time	 Pao	 Fip	 Fop	 stateP	 Flung	 Palv	 Pel	 Pmus	 Vabs	 Vti	 Vte	 Vt	 Vtmax	 PCO2	 SCO2	 VCO2
10.515000000000287	 15	 undefined	 undefined	 undefined	 0.260035838534019	 13.70502152410058	 13.70502152410058	 0	 3.185251076205029	 0.435251023123541	 0	 0.435251023123541	 0.435251023123541	 0	 0	 0
10.518000000000287	 15	 undefined	 undefined	 undefined	 0.2569278735495676	 13.720499189723148	 13.720499189723148	 0	 3.1860249594861574	 0.4360249064046697	 0	 0.4360249064046697	 0.4360249064046697	 0	 0	 0
10.521000000000287	 15	 undefined	 undefined	 undefined	 0.25385705516152157	 13.735791865295619	 13.735791865295619	 0	 3.186789593264781	 0.4367895401832937	 0	 0.4367895401832937	 0.4367895401832937	 0	 0	 0
10.524000000000287	 15	 undefined	 undefined	 undefined	 0.2508229393913801	 13.750901761830924	 13.750901761830924	 0	 3.187545088091546	 0.4375450350100591	 0	 0.4375450350100591	 0.4375450350100591	 0	 0	 0
10.527000000000287	 15	 undefined	 undefined	 undefined	 0.2478250875671062	 13.76583106391581	 13.76583106391581	 0	 3.1882915531957905	 0.4382915001143033	 0	 0.4382915001143033	 0.4382915001143033	 0	 0	 0
10.530000000000287	 15	 undefined	 undefined	 undefined	 0.24486306625969867	 13.7805819300267	 13.7805819300267	 0	 3.189029096501335	 0.43902904341984783	 0	 0.43902904341984783	 0.43902904341984783	 0	 0	 0
10.533000000000287	 15	 undefined	 undefined	 undefined	 0.24193644722052596	 13.795156492841778	 13.795156492841778	 0	 3.189757824642089	 0.4397577715606017	 0	 0.4397577715606017	 0.4397577715606017	 0	 0	 0
10.536000000000287	 15	 undefined	 undefined	 undefined	 0.2390448073194129	 13.809556859549321	 13.809556859549321	 0	 3.190477842977466	 0.44047778989597863	 0	 0.44047778989597863	 0.44047778989597863	 0	 0	 0
10.539000000000287	 15	 undefined	 undefined	 undefined	 0.2361877284834648	 13.823785112152347	 13.823785112152347	 0	 3.1911892556076173	 0.44118920252613003	 0	 0.44118920252613003	 0.44118920252613003	 0	 0	 0
10.542000000000288	 15	 undefined	 undefined	 undefined	 0.2333647976366148	 13.837843307769663	 13.837843307769663	 0	 3.191892165388483	 0.4418921123069955	 0	 0.4418921123069955	 0.4418921123069955	 0	 0	 0
10.545000000000288	 15	 undefined	 undefined	 undefined	 0.23057560663991553	 13.851733478933221	 13.851733478933221	 0	 3.192586673946661	 0.44258662086517375	 0	 0.44258662086517375	 0.44258662086517375	 0	 0	 0
10.548000000000288	 15	 undefined	 undefined	 undefined	 0.22781975223251613	 13.865457633882068	 13.865457633882068	 0	 3.1932728816941034	 0.44327282861261613	 0	 0.44327282861261613	 0.44327282861261613	 0	 0	 0
10.551000000000288	 15	 undefined	 undefined	 undefined	 0.22509683597336938	 13.87901775685262	 13.87901775685262	 0	 3.193950887842631	 0.44395083476114383	 0	 0.44395083476114383	 0.44395083476114383	 0	 0	 0
